index,parfamName,environWeighted,parfam,per503,pervote,avgVote
1953-01-01,LEF,572.578746,9,56.74899999999999,100.75,11.194444444444445
1953-01-01,LIB,701.198162,14,55.022000000000006,159.786,11.413285714285715
1953-01-01,NAT,141.427615,4,20.763,23.726000000000003,5.931500000000001
1953-01-01,SIP,70.09426200000001,4,15.576000000000004,17.338,4.3345
1953-01-01,SOC,2520.3188780000005,13,77.018,366.8639999999999,28.220307692307685
1954-01-01,AGR,222.50738600000003,3,11.507,38.65800000000001,12.886000000000003
1954-01-01,CHR,1655.367273,8,43.231,285.90700000000004,35.738375000000005
1954-01-01,CON,222.90193,6,14.328999999999999,112.664,18.777333333333335
1954-01-01,ETH,105.94602199999997,3,17.107999999999997,13.337,4.445666666666667
1954-01-01,LEF,732.2059820000001,8,62.327999999999996,100.517,12.564625
1954-01-01,LIB,414.708843,9,37.836,95.75299999999999,10.639222222222221
1954-01-01,NAT,137.576211,4,20.763,22.744,5.686
1954-01-01,SIP,57.55546200000001,3,11.976000000000003,13.855,4.618333333333333
1954-01-01,SOC,2084.8066129999997,11,74.61199999999998,323.605,29.418636363636367
1955-01-01,AGR,222.50738600000003,3,11.507,38.65800000000001,12.886000000000003
1955-01-01,CHR,1655.367273,8,43.231,285.90700000000004,35.738375000000005
1955-01-01,CON,222.90193,6,14.328999999999999,112.664,18.777333333333335
1955-01-01,ETH,105.94602199999997,3,17.107999999999997,13.337,4.445666666666667
1955-01-01,LEF,732.2059820000001,8,62.327999999999996,100.517,12.564625
1955-01-01,LIB,414.708843,9,37.836,95.75299999999999,10.639222222222221
1955-01-01,NAT,137.576211,4,20.763,22.744,5.686
1955-01-01,SIP,57.55546200000001,3,11.976000000000003,13.855,4.618333333333333
1955-01-01,SOC,2084.8066129999997,11,74.61199999999998,323.605,29.418636363636367
1956-01-01,AGR,195.50388600000002,3,9.207,37.373000000000005,12.457666666666668
1956-01-01,CHR,1722.595368,10,49.821,310.598,31.059800000000003
1956-01-01,CON,255.712983,8,19.171,124.46900000000002,15.558625000000003
1956-01-01,ETH,105.94602199999997,3,17.107999999999997,13.337,4.445666666666667
1956-01-01,LEF,710.740961,8,69.559,100.403,12.550375
1956-01-01,LIB,359.14488300000005,9,31.665999999999997,100.214,11.134888888888888
1956-01-01,NAT,80.652911,4,17.263,18.314999999999998,4.578749999999999
1956-01-01,SIP,57.55546200000001,3,11.976000000000003,13.855,4.618333333333333
1956-01-01,SOC,1885.2811320000003,11,71.309,327.553,29.777545454545454
1957-01-01,AGR,195.50388600000002,3,9.207,35.90400000000001,11.968000000000004
1957-01-01,CHR,1371.1306749999999,8,34.842,291.919,36.489875
1957-01-01,CON,79.68271,6,8.086,102.137,17.022833333333335
1957-01-01,ETH,105.94602199999997,3,17.107999999999997,13.337,4.445666666666667
1957-01-01,LEF,706.388561,8,70.959,98.75500000000001,12.344375000000001
1957-01-01,LIB,404.174136,11,36.655,124.88599999999998,11.353272727272726
1957-01-01,NAT,75.130735,4,17.263,16.906999999999996,4.226749999999999
1957-01-01,SIP,47.44846200000001,3,10.176000000000002,13.554,4.518
1957-01-01,SOC,1714.335237,11,52.88399999999999,326.519,29.683545454545456
1958-01-01,AGR,80.425349,3,4.209,38.079,12.693
1958-01-01,CHR,1758.619814,8,43.948,299.605,37.450625
1958-01-01,CON,150.7666,7,7.4,143.712,20.530285714285714
1958-01-01,ETH,78.337106,3,13.457999999999998,12.866,4.288666666666667
1958-01-01,LEF,606.755769,8,61.25999999999999,92.014,11.50175
1958-01-01,LIB,389.637166,10,41.407,86.715,8.6715
1958-01-01,NAT,51.8517,4,13.506,15.835999999999999,3.9589999999999996
1958-01-01,SIP,47.44846200000001,3,10.176000000000002,13.554,4.518
1958-01-01,SOC,1875.4458200000001,13,63.536,331.736,25.518153846153844
1959-01-01,AGR,80.425349,3,4.209,38.079,12.693
1959-01-01,CHR,1158.075214,10,39.335,308.942,30.8942
1959-01-01,CON,92.87100000000001,6,4.5,123.74799999999999,20.624666666666666
1959-01-01,ETH,78.337106,3,13.457999999999998,12.866,4.288666666666667
1959-01-01,LEF,599.8597689999999,8,60.422999999999995,91.914,11.48925
1959-01-01,LIB,426.878566,9,39.693,94.609,10.51211111111111
1959-01-01,NAT,39.8757,4,11.306000000000001,17.02,4.255
1959-01-01,SIP,47.44846200000001,3,10.176000000000002,13.554,4.518
1959-01-01,SOC,2246.942652,11,68.544,303.539,27.594454545454543
1960-01-01,AGR,76.499349,3,3.809,39.028,13.009333333333332
1960-01-01,CHR,1067.406014,8,29.035000000000004,291.448,36.431
1960-01-01,CON,209.63270000000003,6,11.1,122.09000000000002,20.348333333333336
1960-01-01,ETH,78.337106,3,13.457999999999998,12.866,4.288666666666667
1960-01-01,LEF,611.7579689999999,9,65.923,97.166,10.796222222222221
1960-01-01,LIB,671.375146,11,64.598,116.29599999999999,10.572363636363635
1960-01-01,NAT,39.8757,4,11.306000000000001,17.02,4.255
1960-01-01,SIP,78.86766200000001,3,24.776,10.392,3.464
1960-01-01,SOC,2168.179552,11,65.94399999999999,307.812,27.982909090909093
1961-01-01,AGR,76.499349,3,3.809,38.186,12.728666666666667
1961-01-01,CHR,683.18284,8,22.062,286.93,35.86625
1961-01-01,CON,209.63270000000003,6,11.1,117.589,19.598166666666668
1961-01-01,ETH,78.337106,3,13.457999999999998,14.354,4.784666666666666
1961-01-01,LEF,587.177969,8,61.923,91.021,11.377625
1961-01-01,LIB,528.3172639999999,9,45.266999999999996,97.82300000000001,10.869222222222223
1961-01-01,NAT,37.702912000000005,4,11.306000000000001,16.466,4.1165
1961-01-01,SIP,78.86766200000001,3,24.776,10.392,3.464
1961-01-01,SOC,1939.572953,11,60.388999999999996,314.073,28.552090909090907
1962-01-01,AGR,166.56713000000005,3,7.745,38.079,12.693
1962-01-01,CHR,991.0966399999999,8,32.762,284.955,35.619375
1962-01-01,CON,373.14833,7,20.255000000000003,141.527,20.218142857142855
1962-01-01,ETH,78.54787400000001,3,13.922,14.036,4.6786666666666665
1962-01-01,LEF,546.899056,8,60.812999999999995,92.869,11.608625
1962-01-01,LIB,412.734065,9,33.266999999999996,95.64600000000002,10.627333333333334
1962-01-01,NAT,34.974112000000005,4,11.106000000000002,15.806000000000001,3.9515000000000002
1962-01-01,SIP,78.86766200000001,3,24.776,10.392,3.464
1962-01-01,SOC,2118.032608,12,69.98899999999999,332.35999999999996,27.696666666666662
1963-01-01,AGR,166.56713000000005,3,7.745,38.079,12.693
1963-01-01,CHR,1302.338752,10,52.154,298.365,29.8365
1963-01-01,CON,321.33083,6,15.755,130.012,21.668666666666667
